,Date,No Hike,Hike
0,2021-11-02,0.9892778669084846,0.010722133091515373
1,2021-12-14,1.0443289620535716,-0.04432896205357151
2,2022-01-25,0.9751757812499999,0.024824218750000016
3,2022-03-15,1.0000283813476827,-2.838134768268219e-05
4,2022-05-03,0.889276253836493,0.110723746163507
5,2022-06-14,0.6143014090401786,0.3856985909598214
6,2022-07-26,0.7615239070012019,0.23847609299879813
7,2022-09-20,0.339996337890625,0.660003662109375
8,2022-11-01,0.7103549299568752,0.2896450700431248
9,2022-12-13,0.4753817044771633,0.5246182955228367
